description,country,variety
"Tasting strongly of spicy wood, this wine is firm, with a tight, granitic texture. Tannins and acidity anchor its blackberry fruit, yielding a structured wine that is ready to drink.",Portugal,Touriga Nacional
"This wine comes from the northern reaches of Tejo, giving it a structured, cool and bright, fruity character. Juicy acidity cuts through its tannins and black plum flavor. Needing a few more months of bottle age, it will be ready to drink in 2018.",Portugal,Portuguese Red
"This is a fashionably pale rosé, as light and bright in color as it is on the palate. Fruity, attractive and ready to drink, it has zesty orange peel and crisp wild strawberry flavors.",Portugal,Portuguese Rosé
A palate of exotic perfumes with layers of dark chocolate and dense tannins certainly give this wine great power. It is dark and brooding—almost too much in the intensity of its flavors and structure. It's going to remain a big beast as it ages. Drink from 2017.,Portugal,Syrah
"Rui Madeira's flagship red is a formidable, powerful wine. It has intense tannins that are surrounded by dark fruits and rich, juicy acidity. The core is dry, concentrated and dense, and the wood aging shows against the background of ripe fruits, promising good aging potential. Drink from 2018.",Portugal,Portuguese Red
"A solid, firm wine with a great rapport between the black berry fruits, juicy acidity and dark tannins. It has a fresh element along with a powerful structure and dense mineral texture. It will age well, so drink from 2017.",Portugal,Portuguese Red
"This is a rich, full-bodied and wood-aged wine, produced from vines in the village of Panasqueira. It has herbal and mint flavors, with black fruit tones powered by structured tannins. It is impressive, ripe, and still maturing. Best after 2016.",Portugal,Baga
"From a small parcel of land on the slopes of the Serra de Aire hills, this firm textured, cool-climate wine shows structure and depth. The fruit weight is concentrated with plum and juicy black currant flavors, rotating around a dry core of tannins. Age this complex wine and drink after 2015.",Portugal,Portuguese Red
"With strong wood-aging flavors, this is a full, very ripe and concentrated wine. Coming from old vines, it has depth of flavor, both fruity and rich. Peach and pear flavors dominate, along with spice from wood aging. The wine needs some aging, so drink from 2015.",Portugal,Portuguese White
"This wine is full of fruit, dusty tannins and great structure. A smooth surface covers the complex, juicy black fruits, dense tannins and mineral texture. This wine will certainly age, so don't drink before 2017.",Portugal,Portuguese Red
"This complex, mature wine has plenty of red fruit flavors, but its main character displays concentrated, tannin and spice. Hints of leather and rich acidity add their notes to this dense, dusty wine. It is ready to drink although it will still mature until 2020.",Portugal,Portuguese Red
"A strongly wood aged wine, powered by tannins and dense fruits, it is concentrated and still young enough for the wood to show through although the fruit is developing well. This is a structured wine that will need plenty of time to age so drink from 2018.",Portugal,Portuguese Red
"Vineyards in the upper Douro Superior region are able to produce surprisingly fresh and fruity whites like this, despite the heat and dry climate. Old vines go into this yellow and green fruit flavored wine with its lively acidity and totally refreshing palate. Drink from summer 2016.",Portugal,Portuguese White
"This is a light wine with plenty of acidity and soft tannins that come together in a juicy, crisp, red fruit-flavored medley. Ready to drink.",Portugal,Portuguese Red
"This is an earthy blend of Touriga Nacional, Jaen and Trincadeira. Unencumbered by wood aromas, it's full of structured red berry fruit and balanced acidity and is ready to drink.",Portugal,Portuguese Red
"This is a serious, wood-aged wine whose ripe fruits are dominated at the moment by heavy toast flavors. The fruit does offer weight and good potential, making it a structured, dark wine that is beginning to suggest a juicy future. Drink from 2017.",Portugal,Portuguese Red
"This is a herbal, earthy wine with as many tannins as fruit at this stage. That gives it a dense, dusty texture that seeps into the ripe, sweet plum flavors. With the wood giving an extra push of richness as well as spice, it needs to age. Drink from 2017.",Portugal,Portuguese Red
"To judge by the weight of the bottle, this is regarded as an important wine by the producer. The wine inside is attractive and fruity, ripe with berry fruits and considerable freshness. The tannins give the power for the bottle, dry and dense at this young stage. Drink from 2017.",Portugal,Portuguese Red
"This lightly wood-aged wine is slightly austere in style, with plum and blackberry tones providing weight. Some tannins and acidity accompany its fine, fruity core, giving a more serious note to this wine. Drink from 2018.",Portugal,Portuguese Red
"Still dark and dense, this young wine has power and structure on its side. The tannins and concentrated firm texture promise aging, allowing the big black fruits to be released. Made from vines in the Douro Superior; drink from 2017.",Portugal,Portuguese Red
"This is a serious, wood-aged wine whose ripe fruits are dominated at the moment by heavy toast flavors. The fruit does offer weight and good potential, making it a structured, dark wine that is beginning to suggest a juicy future. Drink from 2017.",Portugal,Portuguese Red
"This is a herbal, earthy wine with as many tannins as fruit at this stage. That gives it a dense, dusty texture that seeps into the ripe, sweet plum flavors. With the wood giving an extra push of richness as well as spice, it needs to age. Drink from 2017.",Portugal,Portuguese Red
"To judge by the weight of the bottle, this is regarded as an important wine by the producer. The wine inside is attractive and fruity, ripe with berry fruits and considerable freshness. The tannins give the power for the bottle, dry and dense at this young stage. Drink from 2017.",Portugal,Portuguese Red
"Old vines of Tinta Francisca have produced a generous, full and concentrated wine. It is packed with forward berry fruits and as well as soft tannins that are finely integrated. The end is fresh, and always fruity.",Portugal,Tinta Francisca
"A blend of Touriga Nacional and Touriga Franca, this dark-colored, serious wine is concentrated and structured. It offers black fruits, giving a brooding character that's full of power. The aftertaste with its acidity and juicy fruit is elevated and leaves with a lift.",Portugal,Portuguese Red
"From grapes grown in the Douro Superior region, this is an open delicious fruity and ripe wine that is ready to drink. Its black currant and red berry tastes are balanced by spice, wood aged flavors and a core of tannins. The aftertaste introduces fresh juicy acidity.",Portugal,Portuguese Red
"This concentrated wine was wood aged for six months, giving the lightest touch of oak along with ripe yellow fruits and a crisp tangy aftertaste. It has a touch of spice along with bright acidity at the end. Drink now.",Portugal,Portuguese White
"With its typical prickle on the tongue, this is a medium sweet wine. It's clean, crisp and citrusy, with sliced apple and orange zest flavors. Drink now.",Portugal,Portuguese White
"Lightly spritzy, this tastes of crisp apple and finishes just off-dry. It's deliciously refreshing, bright and tangy. Drink now.",Portugal,Portuguese White
"This is a dry sparkling wine with tannins, spice and berry fruit, giving it a deep color. Not an apéritif wine, it's perfect for cutting through rich, oily foods. Drink now.",Portugal,Alicante Bouschet
"This is a soft, creamy wine with fruitiness and a yeasty edge. Made from Bical, Arinto and Maria Gomes, it's ready to drink.",Portugal,Portuguese Sparkling
"This yeasty wine is bone-dry, mature and ready to drink, a toasty element having replaced any fruitiness. The aftertaste is crisp and bright.",Portugal,Portuguese Sparkling
"With hints of minerality typical of any wine from the Dão, this has tight, yeasty notes that contrast with its crisp, bright apple fruit. Drink now.",Portugal,Portuguese Sparkling
"This wine balances swathes of ripe berry fruit with hints of tannin. It's fruity, full bodied and delicious to drink now. A great barbecue wine.",Portugal,Portuguese Red
"This is a classic style of Bairrada sparkling wine—a blend of Bical, Maria Gomes and Arinto. Plenty of crisp acidity and soft white fruit flavors balance its yeasty character. Drink now.",Portugal,Portuguese Sparkling
"A wine for early drinking, this is soft, fruity and bright. With red berry flavor and gentle tannins, it's direct and packed with fruitiness. Drink now.",Portugal,Portuguese Red
"A soft and easy wine with black currant fruit and gentle tannins, this has just enough acidity and structure to hold it together. Spice adds interest on the finish. Drink now.",Portugal,Portuguese Red
"This rich wine has a dense core of dark, dry tannins. The fruit, still taking its time to come through, is full of dark plum flavors and will soon show a fresher acidity. Wood aging, dark chocolate and a smoky character all bode well for the future. Drink from 2016.",Portugal,Portuguese Red
"This rich, sophisticated wood-aged wine has complex fruits, structure and tannins. Ripe, juicy black fruits are intertwined with a solidly dry texture, powerful but still elegant. It will repay aging. Drink from 2016.",Portugal,Portuguese Red
"A rich wine that is made by the Abreu Callado charity foundation. It has dark black currant fruits, big tannins and an elegant feel. With its structure, minerality and ripe, juicy fruitiness, it is finely structured and ageworthy. Drink from 2017.",Portugal,Portuguese Red
"A powerfully tannic wine, full of the mineral texture and dark structure of a fine Douro wine. It has rich berry and plum skin flavors with underlining from acidity. The tannins, still young, promise aging. Drink from 2017.",Portugal,Portuguese Red
"Already impressive, this wine is rich and packed with tannins and fruit. The structure gives a dry core that is cushioned by the sweet blackberry fruit flavors. The end shows the tannins again, along with fresh acidity, both suggesting aging. Drink from 2016.",Portugal,Portuguese Red
"With a significant proportion of Cabernet Sauvignon in the blend, this is a solid, tannic wine. It is also rich, complex and fruity. Fermentation in open lagares gives extra fruitiness, soft extract and great acidity. Drink from 2017.",Portugal,Portuguese Red
"Made by a Spanish bodega with grapes from the Portuguese Douro, this is a sophisticated Douro wine that has a smooth, ripe texture underpinned with dry tannins. Now mature, it's very elegant. Drink now.",Portugal,Portuguese Red
"This sophisticated wine is full of rich, beautifully integrated tropical and citrus fruits enhanced by an elegant use of wood. It feels rich, sumptuous and concentrated, while allowing for good acidity at the end. Drink from 2015.",Portugal,Portuguese White
"A big, ripe wine, it shows richness from the superripe grapes. It is bold, full-bodied and packed with juicy black fruits. It's like a fruit bomb, but structure holds it together. Drink from 2015.",Portugal,Petite Verdot
"At this stage, this wine is dominated by wood. The black fruits underneath will take their time to bring together a wine that will show great perfumes, flavors of mushroom and truffles, and a dense texture. The aftertaste already has some of the right juicy acidity. Drink from 2017.",Portugal,Touriga Nacional
"This wine is just starting out. With its initially austere structure and firm tannins, the juicy fruitiness and mineral character are still waiting to emerge. It will be a serious and structured wine in the next few years, evoking the granite of the Douro. Drink from 2016.",Portugal,Portuguese Red
"The wines has concentration, while also having rich, smooth fruits that exude blackberries, fresh acidity and just the right amount of wood to give complexity.  It's firm, but ready to drink.",Portugal,Portuguese Red
"Produced from vines grown in a boulder and fossil strewn vineyard, this is a rich smoky wine. It has a deep color from the Alicante Bouschet in the blend, with firm tannins and dark juicy plum skin flavors. It's going to be a ripe rich wine as it develops. Drink from 2017.",Portugal,Portuguese Red
"This is a finely perfumed wine, full of ripe Castelão grapes. It has a smooth, polished feeling from the wood aging, yet still allows plenty of room for a dense black-fruit character. It will need to age and will be best after 2016.",Portugal,Castelão
"Aged for 14 months in oak, this is a rich, concentrated and dense yet smooth wine. Licorice and cassis combine, with some bitterness on the firm palate. Give it time for the tannins to mellow and harmonize a bit further; drink after 2016.",Portugal,Portuguese Red
"In the ownership of the Cálem family since the 19th century, Sagrado produces firmly structured wines. This dark and dense example is only just ready to drink. It is a powerful and juicy wine, full of opulent black fruits that are balanced by acidity.",Portugal,Portuguese Red
"A fine,  wood-aged wine from the Dão's star white grape, it gives yellow fruit tones of apricot and peach, with toast and lees flavors providing a rich, full-bodied structure. The acidity cuts right through the palate, bringing out a lively, fresh aftertaste. Drink now, but the wine will be better in 2015.",Portugal,Encruzado
"A fine blend of the classic Douro grapes gives a complex and dark wine that's firm in tannin but also offers ample fruity richness. The wood aging has started the process of smoothing the tannins, working towards a ripe, full-bodied wine. Drink from 2016.",Portugal,Portuguese Red
"This warm, ripe wine is open and ready to drink. With its bold red fruit and generous, well-integrated tannins, it's made for barbecues. Drink now.",Portugal,Touriga Nacional-Cabernet Sauvignon
"A soft and ripe wine with spicy red fruit flavors cushioned by a smooth texture, this has well-embedded tannins and can be drunk young.",Portugal,Portuguese Red
"Soft and smooth, this is a ripe and creamy wine. It has light acidity, pineapple and apricot flavors and a rounded aftertaste. Drink now.",Portugal,Portuguese White
"Made to be drunk young, this wine gives a burst of ripe red fruit. The tannins are soft and open, balanced with acidity. The aftertaste is smooth and generous. Drink now.",Portugal,Portuguese Red
"Named for the Servite convent in the town of Borba, this fresh, crisp and tangy wine is citric, with almond and apple overtones. It's young, fruity and made for immediate consumption.",Portugal,Portuguese White
"A typical Douro blend of Touriga Nacional, Tinta Roriz and Tinta Barroca, this wine is all about bright, crisp fruit. Black and red currant flavors come with tight acidity and a juicy character. Tightly wound now, it needs a few more months to calm down. Drink from 2018.",Portugal,Portuguese Red
"According to legend, the Baron of Figuiera got his foot stuck in the stirrup while riding one day. He promised that where his horse stopped, he would build a chapel, and that's where this 2,100 foot high, cool-climate vineyard is today. The wine is crisp and fresh, with attractive citrus notes and plenty of refreshing acidity. Drink now.",Portugal,Siria
"A jammy, ripe wine that's deliciously full of plum jelly flavors. The dry, dusty tannins are in the background enhancing the structure although still leaving the rich fruit and wood flavors at the front. Drink this full-bodied wine from 2017.",Portugal,Portuguese Red
"From one of the great names of Port, this LBV is a richly sweet wine, full of dried fruits, balanced acidity and a soft, smooth texture. It is a generous, very accessible wine.",Portugal,Port
"Initially this wine is smooth and creamy textured. As it opens up it shows a cool, crisp character, with white apple fruits and layers of spice from wood aging. It's an elegant wine, very balanced already, but likely to age for several years. Drink now and until 2020.",Portugal,Arinto
"Tannins give a dark, mineral structure. The black fruits, slowly coming through, are still part of this serious purpose, with wood flavors and dry fruits prominent. It still needs aging, so don't drink before 2016.",Portugal,Portuguese Red
"Named after a 17th-century nun who lived nearby, this wine packs impressive power and concentration. A great weight of solid tannins are paired with luscious red fruits. Its density, dry core and layers of fruit and acidity promise good aging. Drink from 2017.",Portugal,Portuguese Red
"Some wood aging has rounded out this fruity wine. But it has not radically changed its inherent fresh, crisp character. It shows apples, lemon and lime juice and just a touch of spice from wood. The wine is ready to drink but will be best if left until 2015.",Portugal,Loureiro
"Still firmly tannic, this wine is densely structured and shows good potential. It has dark tannins and rich berry fruits, followed by a more juicy aftertaste. With power and style combining well, it should be aged. Drink from 2017.",Portugal,Portuguese Red
"Despite its richness, this is a stylish wine that exudes freshness as much as dense fruit and structure. A blend of Touriga Nacional, Syrah and Cabernet Sauvignon, all structured varieties, it still yields a generous full-bodied and rounded wine. It does need to age, so drink from 2018.",Portugal,Portuguese Red
"Made to be drunk young, this wine gives a burst of ripe red fruit. The tannins are soft and open, balanced with acidity. The aftertaste is smooth and generous. Drink now.",Portugal,Portuguese Red
"Named for the Servite convent in the town of Borba, this fresh, crisp and tangy wine is citric, with almond and apple overtones. It's young, fruity and made for immediate consumption.",Portugal,Portuguese White
"A typical Douro blend of Touriga Nacional, Tinta Roriz and Tinta Barroca, this wine is all about bright, crisp fruit. Black and red currant flavors come with tight acidity and a juicy character. Tightly wound now, it needs a few more months to calm down. Drink from 2018.",Portugal,Portuguese Red
"A light wine with attractive berry flavors, this has a touch of caramel to go with its fruitiness and crisp acidity. Drink now.",Portugal,Rosé
"If you like your Sauvignon Blanc herbal, then this is the wine for you. It's very fruity and New World in style, has tight acidity and is ready to drink.",Portugal,Sauvignon Blanc
"This pleasant, fruity wine has lemon-lime crispness. Hints of apricot flavor prove the Alvarinho grape is far from its northern Portuguese homeland. Drink now.",Portugal,Alvarinho
This blend of Arinto and Fernão Pires is soft and bland. Its light fruit and acidity feel open and ripe.,Portugal,Portuguese White
"This soft, yeasty and sweet blend of Fernão Pires and Bical is fruity with apple and pear flavors. It has just enough acidity to keep it crisp on the finish and makes an easy apéritif.",Portugal,Portuguese Sparkling
"This medium-sweet rosé is a familiar style of local Portuguese wine. Fruity with raspberry flavor, it gives a slight a prickle on the tongue and has lively acidity. Drink now.",Portugal,Rosé
"Soft, light and fruity, this wine is ready for a warm day. Apple flavors and clean acidity balance its soft sweetness, making it ready to drink now. Intriguingly, its label resembles that of a much more familiar brand of Vinho Verde.",Portugal,Portuguese White
"This estate wine is seriously structured, with tones of dried herbs alongside richer elements of dense tannins and ripe black fruits. A bright acid backbone maintains a fresh and lively character. It might be best to lay down this selection for further integration.",Portugal,Portuguese Red
"The rich, fruity core of this 100% Alfrocheiro wine is given polish and weight from time spend in a barrel. The fruit at the heart is dense, showing hints of dark chocolate and spice flavors, supported by structured tannins. This wine is ready to be consumed now.",Portugal,Alfrocheiro
"Merlot and Syrah join Tinta Roriz in this impressive wine. A fermentation in open lagars as well as time in oak give this blend richness and a deliciously juicy. Ripe and full bodied, it is ready to drink.",Portugal,Portuguese Red
"This is a smooth and generous wine. It is rich, full-bodied and packed with dark plum flavor, but it's the ripe, velvet character that is so appealing. It's almost ready to drink, although the firm tannins and minerality at the end suggest it will be better from 2016.",Portugal,Portuguese Red
"From the eastern vineyards of the Douro, in Douro Superior, this estate wine is heavily structured while showing rich fruit and impressive tannins. The texture is strongly mineral, complex and hinting at the concentration from fruit grown in this hot, dry climate. Drink from 2016.",Portugal,Portuguese Red
"This is a powerfully wood-aged wine, rich and smoothly textured. Full of ripe yellow fruits with a hint of lemon and full-bodied, it is still developing. A touch of minerality and a steely edge add interest and further complexity. It needs to age, so wait until 2016.",Portugal,Portuguese White
"This is a rich, fruity and juicy wine. Great swathes of blackberry combine with acidity and a solid core of tannins. Full of power, with a dense texture, this already delicious wine has some medium-term aging potential. Drink from 2016.",Portugal,Portuguese Red
"A full-bodied wine, it shows strong vanilla flavor from oak aging and a rich, tropical feel. Lime and other citrus fruits give a crisp edge to this rounded wine that has concentration and final fruitiness. Drink from 2015.",Portugal,Fernão Pires
"A complex blend of five grapes, this is a textured and fruity wine that is impressively fresh and crisp. Apples, strong citrus and apricots are all present in this tight, mineral wine. Drink from 2016.",Portugal,Portuguese White
"Fruity and lightly structured, this is a wine for drinking now. It has great juicy fruitiness, soft tannins and an immediately drinkable character, great for barbecues. The wine is named after the Fado Portugal's national music, songs  by seamen longing for home.",Portugal,Portuguese Red
"Firmly tannic and dense, this dry wine is dedicated to the winemakers at Vidigal, the authors in the name of the wine. It has berry fruits under its dark texture, promising more fruit in the next several years. There is a show of wood aging as well as acidity at the end.  Screwcap.",Portugal,Portuguese Red
"Crisp, dry and fresh, this is a lively and fruity wine. It's lightly textured, tangy and clean as a whistle. Drink now.",Portugal,Portuguese White
"As pale as any Provence rosé, this fresh and fragrant wine is delicious. It's crisp in apple and red berry fruits, light and fresh at the end. The aftertaste is as bright as the rest of the wine. Drink now.",Portugal,Rosé
"This is a perfumed, ripe wine. It has black fruit, soft tannins, a light character that emphasizes bright fruit and a juicy aftertaste. Drink now.",Portugal,Touriga Nacional
"Produced in eastern Alentejo, near Spain, this light and soft wine is easy and drinkable. It has a smooth texture, just hinting at lemony acidity. Drink now.",Portugal,Portuguese White
"This is an attractive, warm, rounded wine. Yellow fruit flavors are cut with white fruit and acidity. It has a smooth, creamy texture that gives it extra richness. Drink now.",Portugal,Portuguese White
"This soft, light wine boasts crisp fruit and acidity. It has a touch of bitterness, with almond and tight citrus flavors, and is ready to drink.",Portugal,Portuguese White
"High-acid red wine is not for everyone, but this one—dry, stalky and light—is a genuine example of a wine that has always had a following in northern Portugal, great for pairing with fresh sardines. Think that way, and it's more than just a curiosity.",Portugal,Portuguese Red
"This is a soft and crisp wine that shows attractive, tangy orange flavor and has plenty of acidity to keep it as fresh as possible. Drink now.",Portugal,Arinto
This blend of Bical and Cercial is toasty and dominated by its wood aging. Wood-derived spice notes cover its crisper green fruits.,Portugal,Portuguese White
"This is a soft, fruity and easy wine. With simple tannins and black currant fruit laced with spice, it's made to be drunk now.",Portugal,Portuguese Red
"This sweet sparkling rosé is clean and crisp. It has attractive strawberry fruit, soft texture and a light mousse. Drink now.",Portugal,Castelão
"All four of Dâo's indigenous red grapes—Touriga Nacional, Tinta Roriz, Jaen and Alfrocheiro—are in this blend. It is rich and fruity wine, showing a lightly perfumed character against ripe black fruit tones. Drink now.",Portugal,Portuguese Red
"This is a rich and ripe wine, densely textured with firm tannins that provide a solid structure. Made from selected fruit grown in the north of the Tejo region, the blend of 60% Aragonez, 25% Syrah, 15% Merlot is a textured wood-aged wine that has red and black berry fruits followed by balanced acidity. It is ready to drink, but will improve after 2015.",Portugal,Portuguese Red
"Dense and structured, this is a firm wine from the Santar estate. It is powered by its tannins and partnered with ripe black plum fruits. There is a feeling of tough rocks, a dry core that need some time. Drink from 2015.",Portugal,Portuguese Red
"This complex, ripe wine reflects the steely character of Dão whites along with perfumed acidity and rich white fruit flavors. Lime, apples and pears are smoothed by wood aging and given a final burst of freshness. It's ready to drink.",Portugal,Portuguese White
"This is a bold, ripe wine that is full of black fruits and generous tannins. It has a rich, warm character that is tempered by acidity and a crisp black currant aftertaste. Drink now.",Portugal,Touriga Nacional
"This is a satisfying, ripe and rich wine. It has big layers of red fruits, attractive spice from partial wood aging and fresh acidity. Still young, it will be even better from early 2016.",Portugal,Portuguese Red
"This ripe, tannic wine has a good sense of balance between the firm structure and the potential of the rich, full-blown fruit. Blackberry fruit shows strongly, giving a dense wine that will still develop quickly. Drink from 2016.",Portugal,Portuguese Red
"Ripe and smooth, this is a rich, rounded wine that has a warm character, tasting of sunshine. With soft tannins, a touch of caramel from the wood aging and layers of black fruits, it's an attractive wine to drink now, or age until 2017.",Portugal,Portuguese Red
"This is a rich and jammy wine, packed with black fruits as well as dark tannins. Dark chocolate flavors come from the wood aging which also leaves a burnt taste. These both suggest this potentially fine wine needs to age. Drink from 2016.",Portugal,Portuguese Red
"This is a wine that reveals the younger side of Moscatel in Setúbal. It shows honey, spice and perfumed fruitiness that contrast with the richness of the texture and its fresh peach and apricot flavors. Drink now for immediate enjoyment.",Portugal,Moscatel
"This is a rustic, barnyard-scented wine, with tannins and acidity but lacking fruit. Think of it as one to quaff without too much thought.",Portugal,Castelão
"There is a lightly yeasty character to this wine that gives it a bitter edge, hindering its fruitiness and crisp apple acidity.",Portugal,Portuguese White
"Although it's young, this wine has seen some time in oak, which has given it a ripe fruity character balanced by toast. It's rich and full with balancing acidity and a spicy aftertaste. It needs to age a few months, so drink from 2016.",Portugal,Portuguese White
"A new venture to the Douro by Tejo-based Lagoalva, this is juicy, fruity and soft. While it misses the minerality of many Douro wines, it does have ripe plum fruit flavors, and an open, generous texture. This is a warm full-bodied wine that's ready to drink.",Portugal,Portuguese Red
"A full-bodied, ripe and juicy wine that is developing well. It has weight, soft and warm tannins and already delicious fruit. Blackberries dominate, supported by acidity and a solid core of drier structure. Drink from 2015.",Portugal,Portuguese Red
"Grande in all senses, this wine comes in a powerfully heavy bottle. The wine itself is very structured with ripe and dense tannins and concentrated black, juicy fruits. It comes from selected parcels in Rocim, and is only made in top years. Age this powerful wine and drink from 2017.",Portugal,Portuguese Red
"Petit Verdot seems right at home in the southern Alentejo. This wine is fully ripe, powerful and genuinely fruity. Very juicy and packed with black fruits, it's full-bodied and dense. Drink from 2017.",Portugal,Petit Verdot
"This wine shows some of the natural tannic structure of the Douro while really bringing out plenty of fruit. It is rich, full of black fruits, ripe berries and elegant acidity. Firm and fruity at the end, it could age until 2016, but is good to drink now.",Portugal,Portuguese Red
"An instantly enjoyable, balanced rosé. It's fresh, clean and full of red berry fruits, with a crisp finish. Drink now.",Portugal,Rosé
"The Reserva version of Mural makes a powerful statement. Dark in color and packed with concentrated fruit, it is full of tannins as well as brooding black-plum flavors. Spice and juicy acidity complete the ensemble. It's a solid wine that needs to age to soften the tannic structure. Drink from 2017.",Portugal,Portuguese Red
"This wine is a fine exposition of the structure and density of a serious Douro wine. A field blend, it is packed with dark berry fruits and sweet tannins, with a strong mineral element that reflects the tough schist of the vineyards. It's drinkable now, but the wine will be better in 2016.",Portugal,Portuguese Red
"This wood-aged, fortified Moscatel has retained its fruitiness while also showing older, wood and toast flavors. Perfumed and fragrant, with integrated acidity, enjoy this offering soon.",Portugal,Moscatel
"Open and fruity, this delicious, already drinkable wine is a typical Portuguese blend that's dominated by Touriga Nacional. It has an attractive perfumed aroma along with toasty wood flavors and black currant freshness. The combination is full, forward and delicious now.",Portugal,Portuguese Red
"A smooth and ripe wine, packed with black fruits and some firm tannins that lend support. It is structured, juicy and full of strong spice, with dense texture. It should age a while longer, so drink from 2017.",Portugal,Portuguese Red
"From a blend of grapes that includes Touriga Nacional, this wine is serious and dense. It has a solid texture along with concentrated dark-plum flavors. It's a powerhouse of firm tannins, juicy fruits and a fine layer of spice from wood aging. Drink after 2015.",Portugal,Portuguese Red
"This Syrah-based wine is dense, concentrated and seriously ageworthy. It is weighted by concentrated black fruit, with solid tannic structure and fine acidity on the finish. Drink after 2016.",Portugal,Syrah
"This is firm and solid wine is a blend dominated by tannic Touriga Nacional. Ripe berry fruits on the palate offer juicy acidity for balance, and a perfumed hue gives character and nuance. This impressive wine needs to age, so wait until 2016.",Portugal,Portuguese Red
"This is a young, firm and seriously tannic wine that will need several years to age. It has structure, a sense of the tough terrain of the upper Douro. Concentrated and dense, it's a wine that will develop; best after 2017.",Portugal,Portuguese Red
"This is a fine wine, with great structure and ripe fruit. Dark tannins, a tense mineral texture and blackberry tones are all there, giving a wine that's rich and full bodied. Drink from 2017.",Portugal,Portuguese Red
